body,category
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://secure-auth-update.com/verify. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://identity-review-center.com. This is an automated notice, and no response is required.",phishing
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://identity-review-center.com. This is an automated notice, and no response is required.",phishing
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://secure-auth-update.com/verify. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://identity-review-center.com. This is an automated notice, and no response is required.",phishing
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://secure-auth-update.com/verify. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://identity-review-center.com. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://account-protection-check.net. This is an automated notice, and no response is required.",phishing
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://identity-review-center.com. This is an automated notice, and no response is required.",phishing
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://identity-review-center.com. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://identity-review-center.com. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://secure-auth-update.com/verify. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://secure-auth-update.com/verify. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://account-protection-check.net. This is an automated notice, and no response is required.",phishing
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://account-protection-check.net. This is an automated notice, and no response is required.",phishing
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://identity-review-center.com. This is an automated notice, and no response is required.",phishing
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://identity-review-center.com. This is an automated notice, and no response is required.",phishing
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://account-protection-check.net. This is an automated notice, and no response is required.",phishing
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://secure-auth-update.com/verify. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://account-protection-check.net. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Your recent login attempt from an unrecognized device was blocked for security reasons. To prevent your account from being locked permanently, you must confirm your identity. Use the secure link below to authenticate your details and reauthorize your device: http://account-protection-check.net. If you believe this message was sent in error, please still complete verification to ensure your account remains active.",phishing
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://account-protection-check.net. This is an automated notice, and no response is required.",phishing
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"We wanted to update you regarding the service issue you reported earlier. Our engineers have identified the source of the problem and implemented a fix. System stability is being monitored to ensure everything returns to normal. If you continue to experience difficulties, please reply to this message and we will assist you further. Thank you for your understanding.",support
"Congratulations! You've been selected to receive special promotional pricing on a wide range of popular products. This limited-time opportunity lets you unlock massive discounts on items you already love. Simply click the link inside to explore your personalized deals and claim your rewards. Don’t wait—these offers expire soon, and demand is incredibly high.",spam
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
Thank you for contacting customer support. We have reviewed your ticket and our team is currently analyzing the issue. Preliminary checks suggest it may be related to a temporary system slowdown experienced by a small number of users. We are working diligently to restore full functionality. You will receive another update once the technical team completes their investigation. We appreciate your patience.,support
"Our biggest sale of the season is here! For the next 48 hours, thousands of items across all categories are available at discounts up to 80%. Whether you're shopping for electronics, home essentials, or fashion, we have deals you won't want to miss. Supplies are limited, so shop now and secure your savings while the offers last. Visit our website today and enjoy exclusive early-bird bonuses.",spam
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://identity-review-center.com. This is an automated notice, and no response is required.",phishing
"I hope you're having a productive week. I finally organized the documents you asked for, and I'll send them over later tonight. If you need any additional information or want to review them together, just let me know. We can schedule a quick call whenever you’re free.",ham
"Hey, I just wanted to follow up on our plans for the weekend. Everyone seems excited, and we’re thinking of meeting a little earlier so we can make the most of the day. Let me know what time works best for you. Also, don’t forget to bring the charger—you left it at my place last time.",ham
"We detected unusual activity on your account earlier today and, for your protection, we have temporarily limited access. To restore full functionality, we require that you verify your details using our secure portal. Please complete the verification within the next 24 hours to avoid service interruption. Failure to act may result in temporary suspension of your account. Visit the verification page here: http://secure-auth-update.com/verify. This is an automated notice, and no response is required.",phishing
